Lat;24.04;lon;76.58
Datetime;Year;Month;Day;Data
1996-10-01;1996;10;1;21.8
1996-11-01;1996;11;1;0.0
1996-12-01;1996;12;1;0.0
1997-01-01;1997;1;1;0.0
1997-02-01;1997;2;1;0.0
1997-03-01;1997;3;1;0.0
1997-04-01;1997;4;1;0.0
1997-05-01;1997;5;1;0.0
1997-06-01;1997;6;1;44.6
1997-07-01;1997;7;1;229.6
1997-08-01;1997;8;1;261.4
1997-09-01;1997;9;1;47.0
1997-10-01;1997;10;1;41.0
1997-11-01;1997;11;1;0.0
1997-12-01;1997;12;1;0.0
1998-01-01;1998;1;1;0.0
1998-02-01;1998;2;1;0.0
1998-03-01;1998;3;1;0.0
1998-04-01;1998;4;1;0.0
1998-05-01;1998;5;1;0.0
1998-06-01;1998;6;1;114.3
1998-07-01;1998;7;1;233.0
1998-08-01;1998;8;1;131.3
1998-09-01;1998;9;1;131.3
1998-10-01;1998;10;1;90.4
1998-11-01;1998;11;1;0.0
1998-12-01;1998;12;1;0.0
1999-01-01;1999;1;1;0.0
1999-02-01;1999;2;1;0.0
1999-03-01;1999;3;1;0.0
1999-04-01;1999;4;1;0.0
1999-05-01;1999;5;1;0.0
1999-06-01;1999;6;1;74.2
1999-07-01;1999;7;1;427.3
1999-08-01;1999;8;1;31.7
1999-09-01;1999;9;1;363.5
1999-10-01;1999;10;1;52.0
1999-11-01;1999;11;1;0.0
1999-12-01;1999;12;1;0.0
2000-01-01;2000;1;1;0.0
2000-02-01;2000;2;1;0.0
2000-03-01;2000;3;1;0.0
2000-04-01;2000;4;1;0.0
2000-05-01;2000;5;1;0.0
2000-06-01;2000;6;1;31.7
2000-07-01;2000;7;1;375.4
2000-08-01;2000;8;1;292.5911363636364
2000-09-01;2000;9;1;15.5
2000-10-01;2000;10;1;0.0
2000-11-01;2000;11;1;0.0
2000-12-01;2000;12;1;0.0
2001-01-01;2001;1;1;0.0
2001-02-01;2001;2;1;0.0
2001-03-01;2001;3;1;0.0
2001-04-01;2001;4;1;0.0
2001-05-01;2001;5;1;0.0
2001-06-01;2001;6;1;137.5
2001-07-01;2001;7;1;286.3
2001-08-01;2001;8;1;233.2
2001-09-01;2001;9;1;0.0
2001-10-01;2001;10;1;0.0
2001-11-01;2001;11;1;0.0
2001-12-01;2001;12;1;0.0
2002-01-01;2002;1;1;0.0
2002-02-01;2002;2;1;0.0
2002-03-01;2002;3;1;0.0
2002-04-01;2002;4;1;0.0
2002-05-01;2002;5;1;0.0
2002-06-01;2002;6;1;45.7
2002-07-01;2002;7;1;32.3
2002-08-01;2002;8;1;231.9
